ENTIDAD,MUN,LOC,NOM_MUN,POBTOT,TVIVHAB,P15YM_AN,VPH_AGUAFV,VPH_NODREN,VPH_PISODT,PSINDER,VPH_C_ELEC,TAMLOC
04,001,0000,CalkinÃ­,59232,15289,4039,299,1839,14892,10632,15116,
04,002,0000,Campeche,294077,85353,7485,637,1350,84110,57005,84565,
04,003,0000,Carmen,248845,72119,7233,3998,979,69179,57600,70327,
04,004,0000,ChampotÃ³n,78170,21474,4917,713,1746,20663,18824,21011,
04,005,0000,HecelchakÃ¡n,31917,8292,1964,201,876,8158,7095,8215,
04,006,0000,HopelchÃ©n,42140,10243,2408,154,1383,9926,9503,10033,
04,007,0000,Palizada,8683,2546,488,447,124,2427,1231,2465,
04,008,0000,Tenabo,11452,3066,731,38,462,3022,2125,3014,
04,009,0000,EscÃ¡rcega,59923,16837,3731,329,1183,15904,13457,16424,
04,010,0000,Calakmul,31714,8037,2695,1751,1250,7234,7855,7818,
04,011,0000,Candelaria,46913,13294,3576,1502,1854,12071,15220,12242,
04,012,0000,Seybaplaya,15297,4274,719,274,233,4225,2757,4223,
